bsh;tr;ti;det;quote;ill;tam;synt;matrix;other evids;m_tam;sp;pron
Аjəu aɣaj, tor äle, tor, ana (majðarəŋ)Тölkönöŋ majðarə bötönläj aɣəp böttö, tip ujata ikän;Brother Bear wake up, wake up, all the butter leaked from the Fox;tip; tip PC.PST ;Аjəu aɣaj, tor äle, tor, ana (majðarəŋ)Тölkönöŋ majðarə bötönläj aɣəp bött;strong;IMP;RQM;think;yes;PC.PST;ZF;IMP
bəl qaððarðə nisek totorɣa ikän tip xäjlä qora bašlaɣan;she began to think of how to grab these geese;tip; tip PC.PST ;bəl qaððarðə nisek totorɣa ikän;medium;PC.PST;RQM;think;yes;PC.PST;;
häm bəl sülmäkte xäðer inähe bulmaɣas inde alərɣa miŋä vaqət etkänder tip ujlaɣan da qəðəqaj sülmäkte alɣan ti;"And she thought: ""My mother is not here anymore, so I can take this pot"" – and she took the pot.";tip; tip PC.PST ; inähe bulmaɣas inde alərɣa miŋä vaqət etkänder;low;PC.PST;RQM;think;yes;non-verbal;ZF;1SG
hiðmähendär ä min hine šul šešqolaqtarəndan höjräp kenä aləp kitermen miŋä aðəq bulərhən tip ujlaɣan ikän;"and I will catch you by your ears and eat you"" – that is what she was thinking.";tip;tip PC.PST ikän;hiðmähendär ä min hine šul šešqolaqtarəndan höjräp kenä aləp kitermen miŋä aðəq bulərhə;strong;POT;RQM;think;yes;PC.PST;ZF;1SG/2SG
kejenmägän dä šaršauɣa töröngän atlə la tügel ul käzä täkähenä atlanɣan häm büläge qajða ikän tip ujlap ta ölgörmäj;She was not dressed, she was wrapped up in curtains, she was not on a horse, she was on a donkey, he did not have time to think where is a gift.;tip;tip V (thought);häm büläge qajða ikän;low;PC.PST;RQM;think;no;PRS;;
(babaj) babajðə aləp kilälär harajɣa babaj bik nəq qurqa nindäj zəjan ešlänem ikän tip ujlaj;They led the old man to the palace, the old man is very afraid and he thinks what have I done to the tsar.;tip;tip V (thought);nindäj zəjan ešlänem ikän;strong;PC.PST;RQM;think;no;PRS;;
küðätep torɣan da bəlarðə nisek itep xäjläläp ašajəm ikän tip ujlaɣan;She watched and thought how can I trick and eat them.;tip; tip PC.PST ;bəlarðə nisek itep xäjläläp ašajəm ikän;medium;PC.PST;lmRQM;think;yes;PC.PST;;
batša bik qänäɣät qalɣan bənə qajðan belde ikän tip ujɣa töšhä lä horamaɣan;The tsar was satisfied, even though he wondered how he knew, he did not ask.;tip; tip PC.PST ;qajðan belde ikän;medium;PC.PST;lmRQM;think;yes;PC.PST;;
xäðer Ҡujan ujlap jata ikän, - bəl Аjəu menä almaj öj bašəna bəl moɣajən Тölkö apajðəŋ ešeler, min bögön nisek bulha la joqlamaθqa tərəšajəm äle, tip ujlaj ikän;and the Hare lies and thinks, Brother Bear cannot climb, for sure this is Sister Fox, I will try not to fall asleep;tip;tip V ikän; bəl Аjəu menä almaj öj bašəna bəl moɣajən Тölkö apajðəŋ ešeler, min bögön nisek bulha la joqlamaθqa tərəšajəm äle;medium;PRS;lmRQM;think;yes;PC.PST;ZF;1SG
šunan huŋ qatənə ujlanɣan ujlanɣan da bəl nämä buldə inde  uq nisek äjtmäj tüðäjem batšaɣa barəp äjtäjem äle min anə tip;"no, how can I not to tell (this)? I will go to a rich man"" – she said.";tip;tip (frame);uq nisek äjtmäj tüðäjem batšaɣa barəp äjtäjem äle min anə;medium;PRS;MRQ;think;yes;PC.PST;;
šunan inde ul ujla-ɣan inde Äbjälil ulaj tip kütär-ep jörö-t-ä al-maθ ul at-tə tip ;Потом он думал, что Абзелил, мол, не сможет так поднять и носить этого коня.;tip;tip (frame);Äbjälil ulaj tip kütär-ep jörö-t-ä al-maθ ul at-tə;low;PRS;MRQ;think;yes;PC.PST;;
bənə qalaj itep jazalarɣa, nisek itep bašən qərqərɣa ikän tip;how to punish him, how to cut his head off;tip;tip (frame)(thought);bənə qalaj itep jazalarɣa, nisek itep bašən qərqərɣa ikän;low;PC.PST;RQ;think;yes;PRS;;
-ulaj bulɣas, tip äjtkän Аjəu,-;So, says the Bear, -;tip; tip PC.PST ;-ulaj bulɣas;low;non-verbal;RQM;tell;yes;PC.PST;;
Мineŋ uləmdəŋ qolaqtarə məna minekenä oqšap oðon, šeš qolaq, šešeberäk tora, tip äjtä ikän;My son has ears like mine, long, lop-eared – he said.;tip;tip V ikän;Мineŋ uləmdəŋ qolaqtarə məna minekenä oqšap oðon, šeš qolaq, šešeberäk tora;low;PRS;RQM;tell;yes;PC.PST;;
xäðer qolon attəqəmə ällä arbanəqəmə ikän belmäjbeð šunəŋ ösön talašabəð tip äjtä ikän;now we don't know to whom belongs the foal: to the horse or to the cart, that is why we are arguing – they said;tip;tip V ikän;xäðer qolon attəqəmə ällä arbanəqəmə ikän belmäjbeð šunəŋ ösön talašabəð;medium;PRS;RQM;tell;yes;PC.PST;;
ulaj bulɣas hin uləŋa Jügerek tip isem quš-tip äjtkän ti;Alright, call him Runner then – he said;tip;tip PC.PST ti;ulaj bulɣas hin uləŋa Jügerek tip isem quš-;strong;IMP;RQM;tell;yes;PC.PST;ZF;IMP
xäðer hin kisäge matur äjberðäreŋde kej häm uram bujəna səq irtänsäk matur itep kejen dä jəuən da tip äjtkän ti;"Put on your beautiful clothes from yesterday and go to the street, dress up, clean yourself"" – said (the mother).";tip;tip PC.PST ti;hin kisäge matur äjberðäreŋde kej häm uram bujəna səq irtänsäk matur itep kejen dä jəuən da;strong;IMP;RQM;tell;yes;PC.PST;;
qəðəqaj asma tip äjtkän ti;Daughter, don't open this pot, you can use it only after my death – she said. In the meantime, they just left it.;tip;tip PC.PST ikän ti;qəðəqaj asma;strong;IMP;RQM;tell;yes;PC.PST;ZF;IMP
bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula, tip äjtä ti; today we will light a fire and we will all sit near the fire, from whom the butter comes out, so it is (s)he who ate it.;tip;tip V ti;bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula,;medium;PRS;RQM;tell;yes;PC.PST;ZF;1PL
ulaj bulɣas hin uləŋa Шešqolaq tip isem quš tip äjtä tej;So, call him lop-eared then – she said.;tip;tip V ti;ulaj bulɣas hin uləŋa Шešqolaq tip isem quš;strong;IMP;RQM;tell;yes;PRS;;
xäðer ujanhalar taɣə la -məna Аjəu ašaɣan, tip äjtä ti Тölkö;"when he woke up, Fox again ""the Bear ate it""";tip;tip V ti;məna Аjəu ašaɣan;medium;PC.PST;RQM;tell;yes;PRS;;
šunan nisek-ter küp keše šulajt-əp äjt-ep šul Gäjnetdin kit-ä al-ma-j ošo ike donja ara-hə-nda tor-op qal-ɣan tip äjt-ä-lär inde ;И вот как... каким-то образом... многие люди так говорят, что этот Гайнетдин не может уйти, между этих двух миров остался, говорят.;tip;tip V ti;šunan nisek-ter küp keše šulajt-əp äjt-ep šul Gäjnetdin kit-ä al-ma-j ošo ike donja ara-hə-nda tor-op qal-ɣan;low;PC.PST;RQM;tell;yes;PRS;;
ajaqtarə uləmdəŋ eteð šäp bejep kenä toralar jügerep toralar tip äjtä tej;My son's feet are solid, quick, they dance and run – he said.;tip;tip V ti;ajaqtarə uləmdəŋ eteð šäp bejep kenä toralar jügerep torala;low;PRS;RQM;tell;yes;PRS;;
-juq, tip äjtä ti Аjəu,-bögön min joqlamajəm, tip äjtä ti Аjəu, -äjðä bögön nəq itep küp itep utən tašəjəjbəð;No, – says the Bear - today I won't sleep, - let's bring a lot of firewood today;tip;tip V ti;bögön min joqlamajəm,;medium;PRS;RQM;tell;yes;PRS;;
-ulaj bulɣas, tip äjtkän Аjəu,- bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula, tip äjtä ti;So, says the Bear, - today we will light a fire and we will all sit near the fire, from whom the butter comes out, so it is (s)he who ate it.;tip;tip V ti;bəna bögön ut jaɣabəð ut jaɣabəð ða, šul ut ergähendä ultərabəð, kemebeððän maj səɣa, šul majðə ašaɣan bula;medium;PRS;RQM;tell;yes;PRS;;
ir menän qatən-ə-nəŋ ara-hə-na ker-ep räxätlän-der-ep joqla-j-əm ike-he-n ike jaq-qa it-ep ber berehe-n menän ireš-ter-ep it-ter-ep məna šunan šulaj tip äjt-ä tej inde ;"Между мужем и женой ложусь, с удовольствием сплю, отодвигая их в [разные] две стороны, ссоря их друг с другом, то есть ссоря... Вот потому так"", - говорит.";tip;tip V ti;ir menän qatən-ə-nəŋ ara-hə-na ker-ep räxätlän-der-ep joqla-j-əm ike-he-n ike jaq-qa it-ep ber berehe-n menän ireš-ter-ep it-ter-ep məna šunan šulaj;medium;PRS;RQM;tell;yes;PRS;;
xäðer - min bögön joqlamajəm tip äjtä ti;Today I won't sleep  – said (Bear).;tip;tip V ti;min bögön joqlamajəm;medium;PRS;RQM;tell;yes;PRS;;
-jä nisek nindäj isem quštəŋ -Тöpsök bala, tip quštəm tip äjtä ti, šunan jaraj;"And what did you call (him)? ""I called (him) the Youngest child"" she said, ""Okay"".";tip;tip V ti;Тöpsök bala, tip quštəm;low;PST;RQM;tell;yes;PRS;ZF;1SG
bötmäjensä, bar ɣəna ber ikmäkte vis kenä qərqəp öläšep ašattə la qujðə, məna ul qajða ul tiv äjtä tej tege;not having finished that bread, she took (the bread) and cut everything he said;tip;tip V ti;bötmäjensä, bar ɣəna ber ikmäkte vis kenä qərqəp öläšep ašattə la qujðə, məna ul qajða ul;low;PST;RQM;tell;yes;PRS;;
zäŋgär küð tip äjtä ti;(His eyes) are blue, he says.;tip;tip V ti;zäŋgär küð;low;non-verbal;RQM;tell;yes;PRS;ZF;0
-min tügel, tip äjtä ti Ҡujan, -min dä tügel, tip äjtä ti Тölkö, Аjəu äjtä ti -min ašamanəm, min öj bašəna menä lä almajəm, tip äjtä ti;"It's not me – says the Hare, ""And not me"" – says the Fox, the Bear: ""And not me"", ""I can't even climb onto the roof of the house"" she (Fox) said";tip;tip V ti;min tügel;medium;non-verbal;RQM;tell;yes;PRS;;
-min tügel, tip äjtä ti Ҡujan, -min dä tügel, tip äjtä ti Тölkö, Аjəu äjtä ti -min ašamanəm, min öj bašəna menä lä almajəm, tip äjtä ti;"It's not me – says the Hare, ""And not me"" – says the Fox, the Bear: ""And not me"", ""I can't even climb onto the roof of the house"" she (Fox) said";tip;tip V ti;min dä tügel;medium;non-verbal;RQM;tell;yes;PRS;;
matur qolaqtarə jomšaq təna tip äjtä ikän ti;... beautiful, soft ears – he said.;tip;tip V ikän ti;matur qolaqtarə jomšaq təna;low;non-verbal;RQM;tell;yes;PC.PST;ZF;0
hineŋ uləŋdəŋ qolaqtarə nindäj tip äjtä ikän ti;How are the ears of your son? – she asked.;tip;tip V ikän ti;hineŋ uləŋdəŋ qolaqtarə nindäj ;strong;non-verbal;RQM;tell;yes;PC.PST;;
min barham bit xan kešemen, nimä tip äjtermen, nimä tip tanəštərərmən, tip äjtä inde;if I go, I am a khan, what would I tell, how will I present myself, he said;tip;tip V;min barham bit xan kešemen, nimä tip äjtermen, nimä tip tanəštərərmən;medium;POT;RQM;tell;no;PRS;;
ulaj tip öjrätäheŋ tip äjthä;so, he said, you learn, he said.;tip;tip V;ulaj tip öjrätäheŋ;medium;IMP;RQM;tell;no;COND;;
min heððeŋ olatajəɣəððəŋ olatahənəŋ olatahənəŋ duθə inem tip äjtermen;I will tell that I am a friend of your (his) great-grandfather;tip;tip V;min heððeŋ olatajəɣəððəŋ olatahənəŋ olatahənəŋ duθə inem;low;PST;RQM;tell;no;POT;;
šunan huŋ juq min üð tormošom menän jäšäjem tip räxmät tigän bəl bašlə jeget;Then: No, I'm living my life, thank you – said the guy.;tip;tip PC.PST;šunan huŋ juq min üð tormošom menän jäšäjem;medium;PRS;RQM;tell;no;non-verbal;;
qəðəqaj irtänsäk torɣan da kön matur qojašlə bulɣan ti matur itep äjberðären kejgän ti biðängän ti biðäüestäre menän häm uram bujəna səɣəp kitkän ti häm auəldaštarə qəððə tanəmajðar bəl qajðan jat qəð kilgän tip äjtälär ikän;"The girl woke up in the morning, the day was sunny, she dressed up, she put her jewelry on, she goes to the street, on the street the people in the village did not recognize her, they said ""Where did this unknown girl come from?""";tip;tip V ikän;häm auəldaštarə qəððə tanəmajðar bəl qajðan jat qəð kilgän;medium;PC.PST;lmRQM;tell;yes;PC.PST;;
šunan huŋ barɣan da äj hine batša saqərta hin keše ültergäneŋ hine jazaɣa tarttəralar tip barəp äjtä ikän;"Then he came up and said: ""Hey, the rich man is calling you, you killed a man, they will punish you"".";tip;tip V ikän;šunan huŋ barɣan da äj hine batša saqərta hin keše ültergäneŋ hine jazaɣa tarttəralar;strong;PRS;lmRQM;tell;yes;PC.PST;;
xäðer bəl aptərap səqqan da üð qəðən üðe tanəmaj tora ikän qəðəqaj jəlmajəp ataj bəl bit min tip äjtä ikän atahə qəðən kilep qosaqlap alɣan;"He came back puzzled not being able to recognize his daughter, but with a smile the girl says: ""Dad, it's me"". The father came and hugged her tight.";tip;tip V ikän;ataj bəl bit min;medium;non-verbal;lmRQM;tell;yes;PC.PST;;
bəna Тölkö qəsqərəp jörögän ti -ana majðə Аjəu ašaɣan, tip äjtä ti,-ana unəŋ täne majlə;"and the Fox went and screamed: ""The Bear ate all the butter, he has butter on his body!""";tip;tip V ti;ana majðə Аjəu ašaɣan;medium;PC.PST;lmRQM;tell;yes;PRS;ZF;0
ikensehe äjtä ikän mineŋ arbam qolonlaɣan tip;another one said: my cart foaled;tip;tip (frame);mineŋ arbam qolonlaɣan;low;PC.PST;MRQ;tell;yes;PC.PST;YNK;1SG
berehe äjtä ikän mineŋ atəm qolonlaɣan tip;one of them said: my horse foaled;tip;tip (frame);mineŋ atəm qolonlaɣan;low;PC.PST;MRQ;tell;yes;PC.PST;;
batšaɣa barəp äjtkän ti käbärkägä haləp qujðə toq esendä jata tip;"he left him in the larder, inside a bag"".";tip;tip (frame);käbärkägä haləp qujðə toq esendä jata;low;PRS;MRQ;tell;yes;PC.PST;;
häm ular jəj-əl-əp kil-ep Äbjälil-gä äjt-kän-där šul aždaha-nə hin jeŋ-ä al-maθ-həŋ mikän kül äräm bul-a bit tip ;"И они собрались, пришли и сказали Абзелилу: ""Не сможешь ли победить этого дракона, озеро пропадает?";tip;tip (frame);šul aždaha-nə hin jeŋ-ä al-maθ-həŋ mikän kül äräm bul-a bit;strong;PRS;MRQ;tell;yes;PC.PST;;
ajta qujan kilä tip bəlar qurqmaj ɣəna jöröhälär qujandan qurqmahalar;“The hare is coming”, they are walking and they are not afraid.;tip;tip (frame);qujan kilä ;low;PRS;MRQM;tell;no;PRS;ZF;
məna Тölkö šulaj ða äjtä ti -Аna la ha qaraɣəð mineŋ ber majəm juq qoro höjäkmen, ä Аjəu aɣajðəŋ majən kürmäjhegeðme ni, tip äjtä ti;"and the Fox was still saying: ""Look, I have no butter at all, only bones, and you look at Brother Bear's butter""";tip;tip V ti;Аna la ha qaraɣəð mineŋ ber majəm juq qoro höjäkmen, ä Аjəu aɣajðəŋ majən kürmäjhegeðme ni;medium;PRS;MRQM;tell;yes;PRS;ZF;1SG/2SG
-min tügel, tip äjtä ti Ҡujan, -min dä tügel, tip äjtä ti Тölkö, Аjəu äjtä ti -min ašamanəm, min öj bašəna menä lä almajəm, tip äjtä ti;"It's not me – says the Hare, ""And not me"" – says the Fox, the Bear: ""And not me"", ""I can't even climb onto the roof of the house"" she (Fox) said";tip;tip V ti;min ašamanəm, min öj bašəna menä lä almajəm;medium;PRS;MRQM;tell;yes;PRS;;
Аjəw äjtä ti -juq min ašamanəm üðegeð belähegeð min öj bašəna menä lä almajəm, tip äjtä ti -äjðä jaŋənan ut jaɣabəð;"The bear says: ""No, I didn't eat it, you know I can't climb to the roof, let's light the fire again"".";tip;tip V ti;juq min ašamanəm üðegeð belähegeð min öj bašəna menä lä almajəm;medium;PRS;MRQM;tell;yes;PRS;;
xäðer bəlar äjtä ikän -jä, ajəu äjtä ikän, - kemegeð ašanə äjðä äjtegeð tip äjtä ti;"all tell: ""And so?"" the bear says: ""Which of you ate everything? Tell (me)!"" – he said.";tip; tip V ti;kemegeð ašanə äjðä äjtegeð;strong;IMP;MRQM;tell;yes;PRS;ZF;2PL
išäkteŋ qajða ikänen belgäs mineŋ išägemde hin urlaɣanhəŋ äjðä kittek batšaɣa tip aləp kitkän bəl julsənə;since you know where my donkey is, then you stole it, let's go to the king. So, he led the traveler.;tip; tip PC.PST ;äjðä kittek batšaɣa;strong;IMP;RQM;go;yes;PC.PST;;
təšta ultərmajəq təš... öjðä halqənəraq ta tip öjgä aləp inep kitä;we won’t sit on the street, it’s cooler at home, he says and takes him home;tip; tip PC.PST ;təšta ultərmajəq təš... öjðä halqənəraq ta;medium;non-verbal;RQM;go;yes;PRS;;
ber kemgä lä äjtep qujma tip taqətəp qujɣan;"be prudent, do not tell anyone"" – he was repeating.";tip; tip PC.PST ;90;strong;IMP;RQM;repeat;yes;PC.PST;ZF;IMP
ike qəðəqaj bulɣandar ügäj inä jomro jomɣaɣəŋdə eðläp tapØ tip səɣarəp ebärgän;there were two girls, the stepmother ordered one (the orphan) to find a round ball and chase it;tip; tip PC.PST ;tapØ ;strong;IMP;RQM;send;yes;PC.PST;;
juq, ütep kitte ul šul jaqqa tip aldap evärgän;no, he went that way, so he deceived them;tip; tip PC.PST ;juq, ütep kitte ul šul jaqqa;medium;PST;RQM;send;yes;PC.PST;;
bəna šunə belhä ägär belmähäŋ min hineŋ bašəŋdə kiθteräm irtägä kilerheŋ tip babajðə qajtjrəp ebärä;So, if you know it, if you don't know it, I will order to cut your head off, come tomorrow! – and he sent the old man to his place.;tip;tip V;bəna šunə belhä ägär belmähäŋ min hineŋ bašəŋdə kiθteräm irtägä kilerheŋ;strong;IMP;RQM;send;no;PRS;;
donъjala iŋ šäp nimä ikän šunə belep kil irtägä kilerheŋ tip qajtarəp ebärä;What is the quickest (thing) in the world? Figure out what it is and come back tomorrow. – he said.;tip;tip V;donъjala iŋ šäp nimä ikän šunə belep kil irtägä kilerheŋ;strong;IMP;RQM;send;no;PRS;;
xäðer bəl qəðəqaj qajtha tege üðeneŋ qəðən səɣarəp ebärgän bar hindä bajəɣəp qajtəp kilØ tip;when that girl (the orphan) returned, the stepmother sent her own daughter out, saying go and come back rich;tip; tip PC.PST ;kilØ;strong;IMP;lmRQ;send;yes;PC.PST;;
här waqət batər här waqət batər bul-Ø tip qəsqər-ɣan ;Всегда герой... всегда будь героем - прокричала она.;tip; tip PC.PST ;här waqət batər här waqət batər bul-Ø;strong;IMP;RQM;scream;yes;PC.PST;;
-nisek juq, tip ajəw qəsqərəp ebärgän;Why not? – the Bear cried;tip; tip PC.PST ;nisek juq;strong;non-verbal;RQM;scream;yes;PC.PST;;
hine xäðer üðeŋde ülterälär un hum aqsamdə ber tiðeräk tip qəsqəra ikän;they will kill you now, give me back my 10 rubles quickly.;tip;tip PC.PST ikän;hine xäðer üðeŋde ülterälär un hum aqsamdə ber tiðeräk;strong;IMP;RQM;scream;yes;PC.PST;;
tölkö öjðän səqmajəm tip qəsqərɣan;they came, they said, go away, fox, and the fox screams I won’t leave the house;tip; tip PC.PST ;öjðän səqmajəm;medium;PRS;lmRQM;scream;yes;PC.PST;;
šul xäðäre oðaq jügerälär, jalənəp, kire borol, inte alajtmajvəð tip;they run for so long screaming come back, we won’t do that;tip;tip (frame);alajtmajvəð;medium;PRS;lmRQ;scream;no;PRS;;
šunan huŋ ber keše min baram min baram tip qəsqərəp səqqan;"then someone came out, shouting: ""I will go, I will go!""";tip; tip PC.PST ;min baram min baram;medium;PRS;nmRQM;scream;yes;PC.PST;;
məna huqər ikänen dä beläheŋ satan ikänen dä beläheŋ qojroɣonoŋ qəθqa ikänen dä beläheŋ timäk hin urlaɣanhəŋ hindä mineŋ išäk bir mineŋ išäkte tip bäjlängän bəɣa;So you know that it is blind, and that one leg is lame, and that the tail is short, so you stole it, you have my ass, give it to me - he said next (to him).;tip; tip PC.PST ;mineŋ išäk bir mineŋ išäkte;strong;IMP;RQM;attach;yes;PC.PST;;
šunan šulaj ða batša min hinän horajəm äle hineŋ atajəŋ barmə tip horaɣan;Then: “Alright, king, I ask you, do you have a father?”;tip; tip PC.PST ;šulaj ða batša min hinän horajəm äle hineŋ atajəŋ barmə;strong;non-verbal;RQM;ask;yes;PC.PST;;
ni ösön hin šulaj ni ösön hin šulaj tip horaša bašlaɣan ti;"why did you do this so? why did you do that so?"" – he began to ask.";tip;tip PC.PST ti;ni ösön hin šulaj ni ösön hin šula;strong;non-verbal;RQM;ask;yes;PC.PST;;
nisäšären ber aləp kilde ikän tip bəl qəðəqhənəp horaj;how many (logs) did (your horse) drag at one time? - he is curious;tip;tip V;nisäšären ber aləp kilde ikän;strong;PC.PST;RQM;ask;no;PRS;;
